City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
251,Bahía Solano,6.2262,-77.4044,24.92,93,83,1.21,CO,1678245732
252,Poway,32.9628,-117.0359,11.87,74,20,2.57,US,1678245733
253,Westport,41.1415,-73.3579,1.99,57,20,6.17,US,1678245734
254,Grand Gaube,-20.0064,57.6608,26.22,89,68,0.89,MU,1678245735
255,Salta,-24.7859,-65.4117,19.21,85,76,0.59,AR,1678245265
256,Zverinogolovskoye,54.4586,64.8542,-11.62,93,8,3.81,RU,1678245738
257,Verkhnevilyuysk,63.4453,120.3167,-18.77,82,100,4.2,RU,1678245739
258,Port Lincoln,-34.7333,135.8667,18.42,54,95,8.08,AU,1678245741
259,Newport,51.5877,-2.9984,1.71,92,100,7.41,GB,1678245613
260,Riohacha,11.5444,-72.9072,24.05,83,99,4.66,CO,1678245744
261,Lagoa,39.05,-27.9833,14.58,81,6,14.97,PT,1678245746
262,Marabu,4.4148,114.0089,30.08,74,40,3.09,MY,1678245747
263,Half Moon Bay,37.4636,-122.4286,9.88,73,100,3.6,US,1678245465
264,Beloha,-25.1667,45.05,22.08,97,100,3.96,MG,1678245750
265,Lethem,3.3803,-59.7968,26.6,66,68,4.69,GY,1678245752
266,Takoradze,4.8845,-1.7554,25.64,90,89,3.35,GH,1678245753
267,Alvarães,-3.2208,-64.8042,23.17,98,100,1.16,BR,1678245754
268,Aleksandrov,56.4,38.71,-12.68,100,100,1.61,RU,1678245756
269,Laksar,29.7667,78.05,20.8,27,24,0.79,IN,1678245757
270,Hamilton,39.1834,-84.5333,4.68,51,0,7.2,US,1678245357
271,Quatre Cocos,-20.2078,57.7625,26.06,81,75,6.41,MU,1678245760
272,Izberbash,42.5696,47.8645,2.03,75,88,5.72,RU,1678245761
273,Belle Fourche,44.6714,-103.8522,-3.7,64,100,3.4,US,1678245762
274,Lucapa,-8.4192,20.7447,18.06,97,100,0.96,AO,1678245765
275,Aksarka,66.5606,67.7975,-33.47,92,16,1.85,RU,1678245766
276,Preobrazheniye,42.9019,133.9064,5.63,58,33,2.44,RU,1678245768
277,Mtwara,-10.2667,40.1833,25.77,82,100,4.25,TZ,1678245770
278,Tura,25.5198,90.2201,27.2,14,90,1.17,IN,1678245771
279,Praia da Vitória,38.7333,-27.0667,15.42,82,20,12.83,PT,1678245772
280,San Fernando,15.0286,120.6898,30.85,43,1,2.95,PH,1678245774
281,Salalah,17.0151,54.0924,21.05,40,0,0.51,OM,1678245775
